[4, (-0.09713136950565975-0.005413386720213463j), -0.005413386720213463]
[2, (-0.07916572568545305-0.0029658974871574293j), -0.0029658974871574293]
[0, (-0.027223953008273082+0j), 0.0]
[1, (-0.07355866863216823+0j), 0.0]
[6, (-0.09968005988565995+0j), 0.0]
[7, (-0.11030286175757864+0j), 0.0]
[8, (-0.1270966717943234+0j), 0.0]
[9, (-0.12912604885739098+0j), 0.0]
[3, (-0.07916572568545305+0.0029658974871574293j), 0.0029658974871574293]
[5, (-0.09713136950565975+0.005413386720213463j), 0.005413386720213463]
